"dataset","mechanism","rho","trial","fit","roc_auc","avg_precision","fit_seconds"
"Enron emails (core-100)","MCAR",0.5,7,"MPLE",0.718815721068239,0.651231282865597,0.0919999999999987
"Enron emails (core-100)","MCAR",0.5,8,"MPLE",0.731339971632953,0.668869122417609,0.0750000000000011
"Enron emails (core-100)","MCAR",0.5,9,"MPLE",0.707651856990956,0.634220739868898,0.077
"Enron emails (core-100)","MCAR",0.5,10,"MPLE",0.728426281000418,0.659038945510288,0.0749999999999993
"Enron emails (core-100)","MNAR_degree",0.1,1,"MPLE",0.599707815924032,0.507286237685849,0.093
"Enron emails (core-100)","MNAR_degree",0.1,2,"MPLE",0.721968590211833,0.632840762941233,0.0950000000000006
"Enron emails (core-100)","MNAR_degree",0.1,3,"MPLE",0.635591672753835,0.539917632321613,0.0930000000000017
"Enron emails (core-100)","MNAR_degree",0.1,4,"MPLE",0.682067202337473,0.576263371156736,0.0940000000000012
"Enron emails (core-100)","MNAR_degree",0.1,5,"MPLE",0.678506208911614,0.592148950311865,0.0909999999999993
"Enron emails (core-100)","MNAR_degree",0.1,6,"MPLE",0.627784879474069,0.53287031516797,0.0960000000000001
"Enron emails (core-100)","MNAR_degree",0.1,7,"MPLE",0.672205989773557,0.578583446532572,0.134
"Enron emails (core-100)","MNAR_degree",0.1,8,"MPLE",0.675675675675676,0.588566407189298,0.0849999999999991
"Enron emails (core-100)","MNAR_degree",0.1,9,"MPLE",0.675493060628196,0.595929487252308,0.0969999999999995
"Enron emails (core-100)","MNAR_degree",0.1,10,"MPLE",0.703067932797663,0.619298428261611,0.105
"Enron emails (core-100)","MNAR_degree",0.3,1,"MPLE",0.708241167125822,0.614677501494123,0.0879999999999992
"Enron emails (core-100)","MNAR_degree",0.3,2,"MPLE",0.698352570934465,0.612864846712442,0.0920000000000005
"Enron emails (core-100)","MNAR_degree",0.3,3,"MPLE",0.679618532445857,0.605749333350562,0.0830000000000002
"Enron emails (core-100)","MNAR_degree",0.3,4,"MPLE",0.695323654205795,0.596500888733347,0.0820000000000007
"Enron emails (core-100)","MNAR_degree",0.3,5,"MPLE",0.664089364354803,0.574589241414662,0.0800000000000001
"Enron emails (core-100)","MNAR_degree",0.3,6,"MPLE",0.68758169277484,0.591536166623116,0.0869999999999997
"Enron emails (core-100)","MNAR_degree",0.3,7,"MPLE",0.718846146111927,0.637218958053765,0.0860000000000003
"Enron emails (core-100)","MNAR_degree",0.3,8,"MPLE",0.693644553479861,0.604443051544172,0.0749999999999993
"Enron emails (core-100)","MNAR_degree",0.3,9,"MPLE",0.687506284059603,0.620021709068576,0.0789999999999988
"Enron emails (core-100)","MNAR_degree",0.3,10,"MPLE",0.669968730519415,0.580265143491535,0.0790000000000006
"Enron emails (core-100)","MNAR_degree",0.5,1,"MPLE",0.73730502183683,0.679724170530393,0.0660000000000007
"Enron emails (core-100)","MNAR_degree",0.5,2,"MPLE",0.758411843876178,0.70194338568081,0.0689999999999991
"Enron emails (core-100)","MNAR_degree",0.5,3,"MPLE",0.715557858088684,0.640355853674875,0.0660000000000007
"Enron emails (core-100)","MNAR_degree",0.5,4,"MPLE",0.725968165869334,0.66725398339944,0.0690000000000008
"Enron emails (core-100)","MNAR_degree",0.5,5,"MPLE",0.729814744705633,0.672096349440213,0.0780000000000012
"Enron emails (core-100)","MNAR_degree",0.5,6,"MPLE",0.755405770139969,0.710695225675542,0.0749999999999993
"Enron emails (core-100)","MNAR_degree",0.5,7,"MPLE",0.730657966955832,0.677916049947545,0.0739999999999998
"Enron emails (core-100)","MNAR_degree",0.5,8,"MPLE",0.730595472503347,0.674465336961126,0.0719999999999992
"Enron emails (core-100)","MNAR_degree",0.5,9,"MPLE",0.741542870288688,0.678477286676545,0.077
"Enron emails (core-100)","MNAR_degree",0.5,10,"MPLE",0.732484797545145,0.669619080478273,0.0750000000000028
"EU-core emails (SNAP)","MCAR",0.1,1,"MPLE",0.632586733495184,0.574943188585895,0.110999999999997
"EU-core emails (SNAP)","MCAR",0.1,2,"MPLE",0.576376380296029,0.512333197546194,0.106000000000002
"EU-core emails (SNAP)","MCAR",0.1,3,"MPLE",0.577276998981909,0.514277167376787,0.105
"EU-core emails (SNAP)","MCAR",0.1,4,"MPLE",0.481850575612812,0.45755130130035,0.117999999999999
"EU-core emails (SNAP)","MCAR",0.1,5,"MPLE",0.449917769598246,0.45720558466601,0.126000000000001
