,Airline,Code
599,Jet4You,8J
600,JetBlue Airways,B6
601,Jetairfly,JF
602,JetsGo,SG
603,Jetstar Airways,JQ
604,Jett8 Airlines Cargo,JX
605,Jetx Airlines,GX
606,Jordan Aviation,R5
607,Juneyao Airlines,HO
608,KD Avia,KD
609,KLM Cityhopper,WA
610,KLM Royal Dutch Airlines,KL
611,Kabo Air,N2
612,Kalitta Air,K4
613,Kam Air,RQ
614,Kampuchea Airlines,E2
615,Karat,V2
616,Kavminvodyavia,KV
617,Kenmore Air,M5
618,Kenya Airways,KQ
619,Keystone Air Services,BZ
620,Kingfisher Airlines,IT
621,Kish Air,Y9
622,Kiwi International Air Lines,KP
623,Kogalymavia Air Company,7K
624,Komiinteravia,8J
625,Korean Air,KE
626,Krasnojarsky Airlines,7B
627,Krylo Airlines,K9
628,Kuban Airlines,GW
629,Kunpeng Airlines,VD
630,Kuwait Airways,KU
631,Kuzu Airlines Cargo,GO
632,Kyrgyz Airlines,N5
633,Kyrgyzstan,QH
634,Kyrgyzstan Airlines,R8
635,Kibris T,KY
636,L.A.B. Flying Service,JF
637,LACSA,LR
638,LAI - Linea Aerea IAACA,KG
639,LAN Airlines,LA
640,LAN Argentina,4M
641,LAN Express,LU
642,LAN Peru,LP
643,LOT Polish Airlines,LO
644,LTE International Airways,XO
645,LTU Austria,L3
646,LTU International,LT
647,Lagun Air,N6
648,Lankair,IK
649,Lao Airlines,QV
650,Laoag International Airlines,L7
651,Lauda Air,NG
652,Lebanese Air Transport,LQ
653,Leeward Islands Air Transport,LI
654,Libyan Arab Airlines,LN
655,Linea Aerea SAPSA,L7
656,Linea Aerea de Servicio Ejecutivo Regional,8z
657,Linea Turistica Aerotuy,LD
658,Lineas Aereas Azteca,ZE
659,Linhas A,LM
660,Lion Mentari Airlines,JT
661,Livingston,LM
662,Lloyd Aereo Boliviano,LB
663,Luftfahrtgesellschaft Walter,HE
664,Lufthansa,LH
665,Lufthansa Cargo,LH
666,Lufthansa CityLine,CL
667,Lufthansa Systems,L1
668,Lufttaxi Fluggesellschaft,DV
669,Lufttransport,L5
670,Luxair,LG
671,Lviv Airlines,5V
672,Lynden Air Cargo,L2
673,L,MJ
674,MasAir,M7
675,MAT Macedonian Airlines,IN
676,MIAT Mongolian Airlines,OM
677,MNG Airlines,MB
678,Macair Airlines,CC
679,Maersk,DM
680,Mahan Air,W5
681,Mahfooz Aviation,M2
682,Malaysia Airlines,MH
683,Malmö Aviation,TF
684,Malta Air Charter,R5
685,Malév,MA
686,Mandala Airlines,RI
687,Mandarin Airlines,AE
688,Mango,JE
689,Mars RK,6V
690,Marsland Aviation,M7
691,Martinair,MP
692,Mastertop Linhas Aereas,Q4
693,Mavial Magadan Airlines,H5
694,Maxair,8M
695,Maxjet Airways,MY
696,Maya Island Air,MW
697,Menajet,IM
698,Meridiana,IG
699,Merpati Nusantara Airlines,MZ
700,Mesa Airlines,YV
701,Mesaba Airlines,XJ
702,Mexicana de Aviaci,MX
703,Miami Air International,GL
704,Middle East Airlines,ME
705,Midway Airlines,JI
706,Midwest Airlines,YX
707,Midwest Airlines (Egypt),MY
708,Moldavian Airlines,2M
709,Monarch Airlines,ZB
710,Myway Airlines,8I
711,Montenegro Airlines,YM
712,Moskovia Airlines,3R
713,Motor Sich,M9
714,Mount Cook Airlines,NM
715,Mountain Air Company,N4
716,MyTravel Airways,VZ
717,Myanma Airways,UB
718,Myanmar Airways International,8M
719,Nantucket Airlines,DV
720,Nas Air,XY
721,Nasair,UE
722,National Airlines,N7
723,National Airways Cameroon,9O
724,National Jet Systems,NC
725,Nationwide Airlines,CE
726,Nauru Air Corporation,ON
727,Navitaire,1N
728,Nepal Airlines,RA
729,Neos,NO
730,NetJets,1I
731,New England Airlines,EJ
732,NextJet,2N
733,Niki,HG
734,Nippon Cargo Airlines,KZ
735,Nok Air,DD
736,Nordeste Linhas Aereas Regionais,JH
737,Nordic Regional,6N
738,North Coast Aviation,N9
739,North Flying,M3
740,North-Wright Airways,HW
741,Northern Air Cargo,NC
742,Northern Dene Airways,U7
743,Northwest Airlines,NW
744,Northwest Regional Airlines,FY
745,Northwestern Air,J3
746,Norwegian Air Shuttle,DY
747,Nouvel Air Tunisie,BJ
748,Nova Airline,M4
749,Novair,1I
750,Nuevo Continente,N6
751,O'Connor Airlines,UQ
752,OAG,CR
753,Oasis Hong Kong Airlines,O8
754,Ocean Airlines,VC
755,Oceanair,O6
756,Oceanic Airlines,O2
757,Olympic Airlines,OA
758,Oman Air,WY
759,Omni Air International,OY
760,Omskavia Airline,N3
761,Onur Air,8Q
762,Orenburg Airlines,R2
763,Orient Thai Airlines,OX
764,Origin Pacific Airways,QO
765,Ostfriesische Lufttransport,OL
766,Our Airline,ON
767,Overland Airways,OJ
768,Ozark Air Lines,OZ
769,Ozjet Airlines,O7
770,PAN Air,PV
771,PB Air,9Q
772,PLUNA,PU
773,PMTair,U4
