Name,Code
Norfolk Ns (Chambers Fld) Airport,NGU
Westover ARB/Metropolitan Airport,CEF
Lubbock Preston Smith International Airport,LBB
Chicago O'Hare International Airport,ORD
Boca Raton Airport,BCT
Fairbanks International Airport,FAI
Quantico MCAF /Turner field,NYG
Cannon Air Force Base,CVS
Kaneohe Bay MCAS (Marion E. Carl Field) Airport,NGF
Offutt Air Force Base,OFF
Gulkana Airport,GKN
Watertown International Airport,ART
Palm Springs International Airport,PSP
Rick Husband Amarillo International Airport,AMA
Fort Dodge Regional Airport,FOD
Barksdale Air Force Base,BAD
Topeka Regional Airport - Forbes Field,FOE
Cotulla-La Salle County Airport,COT
Wilmington International Airport,ILM
"Baton Rouge Metropolitan, Ryan Field",BTR
Tyler Pounds Regional Airport,TYR
Baltimore/Washington International Thurgood Marshall Airport,BWI
Hobart Regional Airport,HBR
Lanai Airport,LNY
Alexandria International Airport,AEX
Condron Army Air Field,WSD
Cold Bay Airport,CDB
Tulsa International Airport,TUL
Sitka Rocky Gutierrez Airport,SIT
Long Island Mac Arthur Airport,ISP
Minneapolis-St Paul International/Wold-Chamberlain Airport,MSP
New Castle Airport,ILG
Unalaska Airport,DUT
Louis Armstrong New Orleans International Airport,MSY
Portland International Jetport Airport,PWM
Will Rogers World Airport,OKC
Albany International Airport,ALB
Valdez Pioneer Field,VDZ
Langley Air Force Base,LFI
John Wayne Airport-Orange County Airport,SNA
Columbus Air Force Base,CBM
Kendall-Tamiami Executive Airport,TMB
Oceana NAS,NTU
Grissom Air Reserve Base,GUS
Casper-Natrona County International Airport,CPR
Destin-Ft Walton Beach Airport,VPS
Craig Field,SEM
Key West International Airport,EYW
Charlotte Douglas International Airport,CLT
McCarran International Airport,LAS
Orlando International Airport,MCO
Florence Regional Airport,FLO
Great Falls International Airport,GTF
Youngstown Warren Regional Airport,YNG
Ladd AAF Airfield,FBK
Mc Minnville Municipal Airport,MMV
Robins Air Force Base,WRB
Pullman Moscow Regional Airport,PUW
Lewiston Nez Perce County Airport,LWS
Elmira Corning Regional Airport,ELM
Ithaca Tompkins Regional Airport,ITH
Monterey Peninsula Airport,MRY
Santa Barbara Municipal Airport,SBA
Daytona Beach International Airport,DAB
Talkeetna Airport,TKA
Tweed New Haven Airport,HVN
Asheville Regional Airport,AVL
Piedmont Triad International Airport,GSO
Joe Foss Field Airport,FSD
Manchester Airport,MHT
Naples Municipal Airport,APF
Louisville International Standiford Field,SDF
Charlottesville Albemarle Airport,CHO
Roanoke–Blacksburg Regional Airport,ROA
Blue Grass Airport,LEX
Evansville Regional Airport,EVV
Albuquerque International Sunport Airport,ABQ
Gallatin Field,BZN
Billings Logan International Airport,BIL
Bert Mooney Airport,BTM
Cherry Capital Airport,TVC
Hancock County-Bar Harbor Airport,BHB
Knox County Regional Airport,RKD
Jackson Hole Airport,JAC
Chicago Rockford International Airport,RFD
Greenville Spartanburg International Airport,GSP
Central Illinois Regional Airport at Bloomington-Normal,BMI
Gulfport Biloxi International Airport,GPT
Kalamazoo Battle Creek International Airport,AZO
Toledo Express Airport,TOL
Fort Wayne International Airport,FWA
Decatur Airport,DEC
The Eastern Iowa Airport,CID
La Crosse Municipal Airport,LSE
Central Wisconsin Airport,CWA
General Wayne A. Downing Peoria International Airport,PIA
Appleton International Airport,ATW
Rochester International Airport,RST
University of Illinois Willard Airport,CMI
Manhattan Regional Airport,MHK
Venango Regional Airport,FKL
Grand Junction Regional Airport,GJT
St George Municipal Airport,SGU
David Wayne Hooks Memorial Airport,DWH
Port O'Connor Private Airport,S46
Sarasota Bradenton International Airport,SRQ
Van Nuys Airport,VNY
Quad City International Airport,MLI
Panama City-Bay Co International Airport,PFN
Bismarck Municipal Airport,BIS
Telluride Regional Airport,TEX
Rapid City Regional Airport,RAP
Mc Clellan-Palomar Airport,CLD
Bishop International Airport,FNT
Redding Municipal Airport,RDD
Mahlon Sweet Field,EUG
Idaho Falls Regional Airport,IDA
Rogue Valley International Medford Airport,MFR
Roberts Field,RDM
Akron Canton Regional Airport,CAK
Huntsville International Carl T Jones Field,HSV
Mid Ohio Valley Regional Airport,PKB
Montgomery Regional (Dannelly Field) Airport,MGM
Tri Cities Regional Tn Va Airport,TRI
Barkley Regional Airport,PAH
Page Municipal Airport,PGA
Glacier Park International Airport,FCA
MBS International Airport,MBS
Greater Binghamton/Edwin A Link field,BGM
Blythe Airport,BLH
Petersburg James A Johnson Airport,PSG
Orlando Sanford International Airport,SFB
John Murtha Johnstown Cambria County Airport,JST
Missoula International Airport,MSO
Grand Canyon National Park Airport,GCN
Sugar Land Regional Airport,SGR
Centennial Airport,APA
Clovis Municipal Airport,CVN
Fort Stockton Pecos County Airport,FST
Las Vegas Municipal Airport,LVS
West Houston Airport,IWS
La Junta Municipal Airport,LHX
Las Cruces International Airport,LRU
Stephens County Airport,BKD
Draughon Miller Central Texas Regional Airport,TPL
Ozona Municipal Airport,OZA
Eagle County Regional Airport,EGE
Cuyahoga County Airport,CGF
Mansfield Lahm Regional Airport,MFD
Columbus Metropolitan Airport,CSG
Lawton Fort Sill Regional Airport,LAW
Fort Collins Loveland Municipal Airport,FNL
Flagstaff Pulliam Airport,FLG
Lake Tahoe Airport,TVL
Joslin Field Magic Valley Regional Airport,TWF
Martha's Vineyard Airport,MVY
Concord Municipal Airport,CON
Groton New London Airport,GON
St Cloud Regional Airport,STC
Golden Triangle Regional Airport,GTR
Bowerman Airport,HQM
Erie International Tom Ridge Field,ERI
Barnstable Municipal Boardman Polando Field,HYA
Sedona Airport,SDX
Morgantown Municipal Walter L. Bill Hart Field,MGW
Yeager Airport,CRW
Wilkes Barre Scranton International Airport,AVP
Bemidji Regional Airport,BJI
Hector International Airport,FAR
Charles B. Wheeler Downtown Airport,MKC
Gillette Campbell County Airport,GCC
University Park Airport,SCE
Key Field,MEI
Abraham Lincoln Capital Airport,SPI
Cortez Municipal Airport,CEZ
Yampa Valley Airport,HDN
Gallup Municipal Airport,GUP
Liberal Mid-America Regional Airport,LBL
Lamar Municipal Airport,LAA
Renner Field-Goodland Municipal Airport,GLD
Yellowstone Regional Airport,COD
Springfield Branson National Airport,SGF
Joplin Regional Airport,JLN
Lehigh Valley International Airport,ABE
Northwest Arkansas Regional Airport,XNA
South Bend Regional Airport,SBN
Smith Field,SMD
Arcata Airport,ACV
Albert J Ellis Airport,OAJ
Tuscaloosa Regional Airport,TCL
Dubuque Regional Airport,DBQ
Aberdeen Regional Airport,ABR
Southwest Georgia Regional Airport,ABY
Athens Ben Epps Airport,AHN
Alamogordo White Sands Regional Airport,ALM
Waterloo Regional Airport,ALO
Walla Walla Regional Airport,ALW
Alpena County Regional Airport,APN
Watertown Regional Airport,ATY
Bradford Regional Airport,BFD
Western Neb. Rgnl/William B. Heilig Airport,BFF
Raleigh County Memorial Airport,BKW
Brunswick Golden Isles Airport,BQK
Southeast Iowa Regional Airport,BRL
Jack Mc Namara Field Airport,CEC
Cape Girardeau Regional Airport,CGI
Chippewa County International Airport,CIU
North Central West Virginia Airport,CKB
William R Fairchild International Airport,CLM
Houghton County Memorial Airport,CMX
Dodge City Regional Airport,DDC
DuBois Regional Airport,DUJ
Chippewa Valley Regional Airport,EAU
Elko Regional Airport,EKO
New Bedford Regional Airport,EWB
Fayetteville Regional Grannis Field,FAY
Wokal Field Glasgow International Airport,GGW
Central Nebraska Regional Airport,GRI
Memorial Field,HOT
Tri-State/Milton J. Ferguson Field,HTS
Kirksville Regional Airport,IRK
Jamestown Regional Airport,JMS
Laramie Regional Airport,LAR
Arnold Palmer Regional Airport,LBE
North Platte Regional Airport Lee Bird Field,LBF
Lebanon Municipal Airport,LEB
Klamath Falls Airport,LMT
Lancaster Airport,LNS
Lewistown Municipal Airport,LWT
Lynchburg Regional Preston Glenn Field,LYH
Muskegon County Airport,MKG
Frank Wiley Field,MLS
Northwest Alabama Regional Airport,MSL
Southwest Oregon Regional Airport,OTH
Owensboro Daviess County Airport,OWB
Hattiesburg Laurel Regional Airport,PIB
Pocatello Regional Airport,PIH
Pierre Regional Airport,PIR
Pellston Regional Airport of Emmet County Airport,PLN
Portsmouth International at Pease Airport,PSM
Reading Regional Carl A Spaatz Field,RDG
Rhinelander Oneida County Airport,RHI
Rock Springs Sweetwater County Airport,RKS
Rutland - Southern Vermont Regional Airport,RUT
San Luis County Regional Airport,SBP
Sheridan County Airport,SHR
Adirondack Regional Airport,SLK
Salina Municipal Airport,SLN
Santa Maria Pub/Capt G Allan Hancock Field,SMX
Tupelo Regional Airport,TUP
Quincy Regional Baldwin Field,UIN
Victoria Regional Airport,VCT
Valdosta Regional Airport,VLD
Worland Municipal Airport,WRL
Yakima Air Terminal McAllister Field,YKM
Adak Airport,ADK
Gustavus Airport,GST
Skagway Airport,SGY
Holy Cross Airport,HCR
Haines Airport,HNS
Kalskag Airport,KLG
McGrath Airport,MCG
Mountain Village Airport,MOU
Aniak Airport,ANI
Chevak Airport,VAK
Wrangell Airport,WRG
Kalaupapa Airport,LUP
Aleknagik / New Airport,WKK
Mercer County Airport,BLF
Mid Delta Regional Airport,GLH
Tri Cities Airport,PSC
Akutan Seaplane Base,KQA
Lopez Island Airport,LPS
Waikoloa Heliport,WKL
Worcester Regional Airport,ORH
Bremerton National Airport,PWT
Spencer Municipal Airport,SPW
Jefferson City Memorial Airport,JEF
Provincetown Municipal Airport,PVC
Fullerton Municipal Airport,FUL
Concord Regional Airport,\N
Friedman Memorial Airport,SUN
Mason City Municipal Airport,MCW
Phoenix-Mesa-Gateway Airport,AZA
Anaktuvuk Pass Airport,AKP
Anvik Airport,ANV
Atqasuk Edward Burnell Sr Memorial Airport,ATK
Gambell Airport,GAM
Hooper Bay Airport,HPB
Kaltag Airport,KAL
St Mary's Airport,KSM
Kivalina Airport,KVL
Mekoryuk Airport,MYU
Ruby Airport,RBY
Shishmaref Airport,SHH
Savoonga Airport,SVA
Noatak Airport,WTK
Arctic Village Airport,ARC
